"source_column","group_name","avg_price","avg_quantity","total_quantity","avg_sales","total_sales"
Category,Electronics,375.42,2.95,348.00,1101.27,129950.00
 ,Home Appliances,960.00,2.75,110.00,2625.00,105000.00
 ,Footwear,60.00,2.67,72.00,160.00,4320.00
 ,Clothing,30.00,2.88,115.00,88.50,3540.00
 ,Books,15.00,2.76,69.00,41.40,1035.00
Product,Refrigerator,1200.00,2.71,65.00,3250.00,78000.00
 ,Laptop,800.00,3.04,73.00,2433.33,58400.00
 ,Smartphone,500.00,2.77,97.00,1385.71,48500.00
 ,Washing Machine,600.00,2.81,45.00,1687.50,27000.00
 ,Smartwatch,150.00,3.09,105.00,463.24,15750.00
 ,Headphones,100.00,2.92,73.00,292.00,7300.00
 ,Running Shoes,60.00,2.67,72.00,160.00,4320.00
 ,Jeans,40.00,3.10,62.00,124.00,2480.00
 ,T-Shirt,20.00,2.65,53.00,53.00,1060.00
 ,Book,15.00,2.76,69.00,41.40,1035.00
Customer Location,Miami,359.68,2.81,87.00,1022.58,31700.00
 ,Denver,373.65,2.88,75.00,1145.58,29785.00
 ,Houston,260.31,2.78,89.00,887.19,28390.00
 ,Dallas,360.52,2.83,82.00,936.03,27145.00
 ,Seattle,447.73,2.95,65.00,1222.27,26890.00
 ,Boston,354.42,2.65,69.00,1006.54,26170.00
 ,Chicago,307.95,2.95,65.00,945.91,20810.00
 ,New York,276.54,2.85,74.00,728.46,18940.00
 ,Los Angeles,396.18,2.76,47.00,1048.24,17820.00
 ,San Francisco,341.05,3.21,61.00,852.37,16195.00
Payment Method,PayPal,446.42,2.85,171.00,1160.75,69645.00
 ,Credit Card,392.59,2.85,154.00,1140.65,61595.00
 ,Gift Card,374.52,2.60,109.00,1141.79,47955.00
 ,Amazon Pay,267.44,3.02,124.00,798.78,32750.00
 ,Debit Card,211.60,2.94,156.00,601.89,31900.00
Status,Pending,333.06,3.11,264.00,1062.18,90285.00
 ,Completed,355.80,2.91,256.00,1006.02,88530.00
 ,Cancelled,341.23,2.52,194.00,844.55,65030.00
